,name,city,state,score,rank,TLR_SS Score (Max 20.00),TLR_FSR Score (Max 25.00),TLR_FQE Score (Max 20.00),TLR_FRU Score (Max 20.00),RP_PU Score (Max 15.00),RP_QP Score (Max 35.00),RP_IPR Score (Max 35.00),RP_FPPP Score (Max 15.00),GO_GPH Score (Max 15.00),GO_GUE Score (Max 60.00),GO_MS Score (Max 40.00),GO_GPHD Score (Max 30.00),OI_RD Score (Max 30.00),OI_WD Score (Max 20.00),OI_ESCS Score (Max 20.00),OI_PCS Score (Max 100.00),PR Score (Max None)
0,Indian Institute of Technology Madras,Chennai,Tamil Nadu,87.59,1,17.0,22.41,16.58,17.57,13.0,31.77,32.66,15.0,12.55,59.98,29.38,21.98,13.06,7.91,20.0,98.75,
1,Indian Institute of Science,Bengaluru,Karnataka,83.57,2,11.0,25.0,18.41,19.97,8.0,35.0,34.86,9.0,8.59,54.4,30.39,24.46,9.77,3.22,20.0,100.0,
2,"Indian Institute of Technology, Bombay",Mumbai,Maharashtra,82.35,3,17.0,25.0,18.1,14.45,11.0,30.42,31.72,13.0,8.95,36.79,26.28,20.02,14.86,4.65,20.0,88.8,
3,"Indian Institute of Technology, Delhi",New Delhi,Delhi,82.22,4,17.0,22.43,17.48,16.07,9.0,31.16,32.62,13.0,8.03,55.05,24.31,24.4,17.72,7.95,20.0,93.08,
4,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,77.83,5,17.0,22.46,18.31,16.14,13.0,27.49,27.21,9.0,6.84,60.0,23.89,22.2,10.19,7.87,20.0,77.86,
5,"Indian Institute of Technology, Kharagpur",Kharagpur,West Bengal,75.94,6,16.67,18.98,15.64,11.36,15.0,29.18,32.46,7.0,7.02,50.85,31.08,19.72,11.33,4.8,20.0,79.82,
6,"Indian Institute of Technology, Roorkee",Roorkee,Uttarakhand,71.48,7,16.64,19.98,15.43,12.47,13.0,28.1,29.34,4.0,5.59,60.0,24.42,24.91,12.8,6.65,20.0,48.84,
7,Indian Institute of Technology Guwahati,Guwahati,Assam,69.75,8,15.44,23.23,15.54,12.09,12.0,28.27,28.31,3.0,3.96,60.0,23.26,24.07,13.61,1.9,20.0,45.93,
8,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,69.57,9,10.05,25.0,18.52,20.0,2.0,30.25,26.57,1.0,2.57,60.0,12.67,21.37,26.0,0.0,20.0,75.45,
9,Jawaharlal Nehru University,New Delhi,Delhi,67.25,10,14.92,24.27,17.07,12.18,3.5,20.62,21.85,2.0,1.09,35.27,40.0,22.88,27.4,0.0,20.0,59.19,
10,Banaras Hindu University,Varanasi,Uttar Pradesh,64.81,11,20.0,20.31,16.04,10.56,3.0,18.12,23.81,0.5,1.48,60.0,37.74,8.56,26.48,2.29,20.0,53.95,
11,Jadavpur University,Kolkata,West Bengal,63.85,12,17.25,20.85,16.35,7.62,1.5,23.28,24.43,1.5,4.51,60.0,30.1,4.89,23.52,8.45,20.0,49.53,
12,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,63.62,13,16.0,25.0,16.01,9.66,1.5,18.58,22.42,3.0,3.68,60.0,32.46,22.35,29.84,8.95,20.0,23.57,
13,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,62.86,14,10.15,25.0,17.89,14.4,6.0,23.13,22.86,4.0,3.19,60.0,11.53,17.84,15.91,2.99,20.0,49.01,
14,Calcutta University,Kolkata,West Bengal,61.57,15,17.97,24.21,17.27,8.01,0.0,16.14,18.51,1.5,4.7,60.0,35.48,4.61,30.0,7.28,20.0,37.86,
15,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,61.54,16,18.0,25.0,15.99,10.81,0.0,20.35,19.0,6.0,4.7,60.0,14.09,20.8,27.97,0.96,20.0,38.09,
16,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,61.23,17,17.56,25.0,16.55,11.42,0.0,19.62,21.76,3.0,6.68,57.95,20.2,16.85,26.98,0.98,20.0,26.37,
17,Vellore Institute of Technology,Vellore,Tamil Nadu,60.14,18,18.55,16.21,12.69,5.27,0.0,23.35,28.9,7.0,0.58,58.5,20.93,16.91,22.05,0.41,20.0,45.74,
18,Aligarh Muslim University,Aligarh,Uttar Pradesh,59.86,19,17.47,24.59,17.23,9.22,1.0,17.09,22.36,1.5,2.09,56.54,32.38,7.93,25.39,2.98,20.0,27.85,
19,University of Hyderabad,Hyderabad,Telangana,59.67,20,13.44,25.0,19.84,9.16,3.5,19.16,19.34,0.0,1.68,60.0,23.97,16.59,26.91,0.0,20.0,31.99,
