,name,city,state,score,rank,TLR_SS Score (Max 20.00),TLR_FSR Score (Max 30.00),TLR_FQE Score (Max 20.00),TLR_FRU Score (Max 30.00),RP_PU Score (Max 70.00),RP_QP Score (Max 30.00),RP_IPR Score (Max 40.00),RP_FPPP Score (Max 40.00),GO_GPH Score (Max 20.00),GO_GUE Score (Max 30.00),GO_MS Score (Max 30.00),GO_GPHD Score (Max 20.00),OI_RD Score (Max 20.00),OI_WD Score (Max 100.00),OI_ESCS Score (Max None),OI_PCS Score (Max None),PR Score (Max None)
0,Hindu College,Delhi,Delhi,74.47,1,16.0,20.34,14.48,13.09,37.77,22.41,33.37,40.0,17.19,23.95,27.02,6.71,20.0,95.21,,,
1,Miranda House,Delhi,Delhi,73.22,2,18.0,20.14,11.99,13.18,42.65,21.36,31.93,40.0,15.7,25.06,30.0,2.45,20.0,86.65,,,
2,St. Stephens's College,Delhi,Delhi,72.97,3,,30.0,16.01,15.95,24.8,11.48,31.43,40.0,17.03,,30.0,1.49,20.0,92.47,,,
3,Rama Krishna Mission Vivekananda Centenary College,Kolkata,West Bengal,72.97,3,,30.0,19.86,14.44,48.02,17.32,40.0,40.0,20.0,19.36,,14.33,20.0,38.75,,,
4,Atma Ram Sanatan Dharm College,New Delhi,Delhi,72.59,5,15.7,24.85,15.62,8.69,69.19,25.65,25.67,40.0,12.68,20.92,26.1,6.42,20.0,54.87,,,
5,St. Xavier`s College,Kolkata,West Bengal,72.15,6,17.04,28.58,13.72,,45.73,22.02,33.22,40.0,15.0,,28.98,3.21,20.0,74.99,,,
6,PSGR Krishnammal College for Women,Coimbatore,Tamil Nadu,72.09,7,17.81,30.0,18.53,6.85,33.61,21.61,29.82,40.0,11.85,,30.0,10.49,20.0,74.81,,,
7,Loyola College,Chennai,Tamil Nadu,70.74,8,18.08,23.57,13.65,,70.0,30.0,14.86,37.08,12.58,,17.82,5.27,20.0,99.7,,,
8,Kirori Mal College,Delhi,Delhi,69.86,9,18.0,13.66,9.75,21.55,53.29,23.7,25.58,40.0,16.0,,25.33,4.56,20.0,53.99,,,
9,Lady Shri Ram College for Women,New Delhi,Delhi,69.49,10,14.0,23.26,14.34,8.67,16.23,12.78,36.51,40.0,17.36,23.49,30.0,2.4,20.0,100.0,,,
10,PSG College of Arts and Science,Coimbatore,Tamil Nadu,69.06,11,18.62,26.11,17.68,5.0,43.3,24.07,21.45,40.0,10.77,,30.0,2.0,20.0,86.79,,,
11,Hans Raj College,Delhi,Delhi,68.76,12,18.0,15.86,10.03,12.49,52.55,27.56,19.74,40.0,15.93,23.35,26.5,8.74,20.0,74.09,,,
12,Presidency College,Chennai,Tamil Nadu,68.36,13,15.17,27.77,18.29,8.52,47.92,22.07,20.87,40.0,,,24.76,7.36,20.0,76.06,,,
13,Madras Christian College,Chennai,Tamil Nadu,67.41,14,17.03,27.96,16.06,6.64,47.25,23.24,15.12,40.0,10.97,,29.23,3.24,20.0,74.99,,,
14,Thiagarajar College,Madurai,Tamil Nadu,66.82,15,18.0,26.43,18.0,5.95,53.74,25.57,25.03,40.0,10.32,,30.0,3.36,20.0,33.76,,,
15,Deshbandhu College,New Delhi,Delhi,66.03,16,16.54,20.02,13.46,9.82,52.21,25.4,31.97,40.0,13.4,18.33,24.63,4.77,20.0,23.41,,,
16,Ramakrishna Mission Vidyamandira,Howrah,West Bengal,65.51,17,,30.0,17.72,15.08,41.29,17.8,37.17,40.0,10.25,,,8.31,20.0,35.18,,,
17,Acharya Narendra Dev College,New Delhi,Delhi,64.73,18,,30.0,18.03,11.36,53.36,22.83,18.03,35.73,10.77,17.81,22.71,2.59,20.0,34.71,,,
18,Shri Ram College of Commerce,Delhi,Delhi,64.56,19,14.0,19.95,11.63,12.85,4.75,10.26,37.39,40.0,16.9,24.72,29.77,6.94,20.0,75.35,,,
19,Rajagiri College of Social Sciences,Ernakulam,Kerala,64.22,20,12.0,30.0,19.71,12.46,45.81,17.45,17.87,40.0,13.89,,30.0,1.77,20.0,16.73,,,
20,Sri Venkateswara College,Delhi,Delhi,63.98,21,16.0,15.8,11.16,13.08,51.14,24.66,23.67,40.0,14.47,21.33,29.07,3.8,20.0,32.29,,,
21,"University College, Thiruvananthapuram",Thiruvananthapuram,Kerala,63.65,22,12.79,30.0,17.99,12.92,37.15,19.56,25.71,37.58,10.64,,30.0,4.15,20.0,17.45,,,
22,Lady Irwin College,Delhi,Delhi,63.27,23,,30.0,17.97,14.52,22.84,13.66,21.63,40.0,12.07,,30.0,1.18,20.0,47.93,,,
23,Ramakrishna Mission Residential College,Kolkata,West Bengal,62.78,24,7.96,30.0,16.66,13.85,36.52,12.44,36.1,40.0,10.51,,,10.77,20.0,32.29,,,
24,"St. Joseph's College, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,62.73,25,16.97,24.7,15.54,6.64,40.83,20.72,24.22,40.0,11.24,,19.99,8.03,20.0,42.43,,,
25,Deen Dayal Upadhyaya College,New Delhi,Delhi,62.47,26,14.0,20.66,13.33,10.61,52.18,20.91,14.23,40.0,12.34,19.61,27.42,4.89,20.0,42.43,,,
26,Bhaskaracharya College of Applied Sciences,New Delhi,Delhi,61.55,27,7.83,27.8,18.84,10.87,59.58,22.44,14.51,40.0,9.81,13.27,22.94,1.85,14.0,18.16,,,
27,V.O. Chidambaram College,Thoothukudi,Tamil Nadu,60.8,28,13.52,24.62,16.85,7.27,42.22,23.23,27.89,40.0,9.58,,27.69,9.7,20.0,9.63,,,
28,Maitreyi College,New Delhi,Delhi,59.6,29,13.18,23.12,14.95,11.03,28.18,15.92,25.51,40.0,13.62,18.0,30.0,2.91,20.0,12.13,,,
29,Stella Maris College for Women,Chennai,Tamil Nadu,59.51,30,16.21,22.13,12.95,6.31,31.76,25.33,12.58,40.0,11.47,,30.0,4.86,20.0,57.4,,,
30,Gargi College,Delhi,Delhi,59.28,31,17.4,22.58,14.68,9.64,20.23,16.68,15.22,40.0,12.94,24.24,30.0,1.13,20.0,37.45,,,
31,Midnapore College,Midnapore,West Bengal,58.91,32,18.0,30.0,14.71,4.96,32.95,22.63,10.55,40.0,9.96,,30.0,9.57,20.0,24.03,,,
32,Bishop Heber College,Tiruchirappalli,Tamil Nadu,58.61,33,17.71,22.0,13.98,4.93,29.06,24.57,23.33,40.0,9.72,,26.54,1.68,20.0,40.02,,,
