,name,city,state,score,rank,TLR_SS Score (Max 15.00),TLR_FSR Score (Max 15.00),TLR_FQE Score (Max 10.00),TLR_FRU Score (Max 10.00),RP_PU Score (Max 10.00),RP_QP Score (Max 10.00),RP_IPR Score (Max 10.00),RP_FPPP Score (Max 10.00),GO_GPH Score (Max 10.00),GO_GUE Score (Max 10.00),GO_MS Score (Max 10.00),GO_GPHD Score (Max 10.00),OI_RD Score (Max 4.00),OI_WD Score (Max 4.00),OI_ESCS Score (Max 4.00),OI_PCS Score (Max 3.00),PR Score (Max 15.00)
0,Indian Institute of Technology Madras,Chennai,Tamil Nadu,89.46,1,18.5,30.0,17.29,30.0,34.95,34.37,14.0,9.78,29.74,15.0,19.34,16.98,21.57,14.88,9.4,20.0,100.0
1,Indian Institute of Technology Delhi,New Delhi,Delhi,86.66,2,18.5,23.18,15.61,28.41,35.0,37.63,13.0,6.56,33.05,13.06,20.93,17.49,24.05,14.07,7.27,20.0,98.53
2,Indian Institute of Technology Bombay,Mumbai,Maharashtra,83.09,3,18.5,25.58,16.91,25.36,31.61,32.52,13.0,7.06,32.0,13.93,19.99,18.87,19.25,14.89,4.53,20.0,91.13
3,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,82.79,4,18.33,28.72,19.45,27.76,28.49,28.87,10.0,6.72,36.13,15.0,21.84,16.08,19.94,12.94,7.74,20.0,84.19
4,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,76.88,5,19.76,21.5,14.79,22.17,30.68,34.86,10.0,3.75,24.3,13.99,20.87,,21.87,11.93,4.02,20.0,80.26
5,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,76.0,6,17.66,23.13,15.28,21.67,30.25,33.2,7.0,4.25,37.74,15.0,20.17,,23.72,12.64,5.84,20.0,65.79
6,Indian Institute of Technology Guwahati,Guwahati,Assam,71.86,7,18.32,24.57,13.71,20.22,29.8,29.68,3.0,5.58,32.2,14.94,21.63,15.71,24.79,11.94,2.84,20.0,55.38
7,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,71.55,8,12.41,30.0,19.49,26.83,25.51,23.82,3.0,5.18,33.08,15.0,20.79,,17.52,12.57,5.6,20.0,65.31
8,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,66.88,9,17.5,19.31,13.02,19.87,25.31,25.66,4.5,1.55,35.0,15.0,17.34,11.35,16.71,18.19,8.22,20.0,68.07
9,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,66.69,10,16.28,18.79,13.13,18.06,24.33,27.64,6.0,2.49,36.48,14.98,20.43,12.9,17.96,10.7,9.23,20.0,60.05
10,Vellore Institute of Technology,Vellore,Tamil Nadu,66.22,11,20.0,22.18,13.86,9.49,27.5,37.24,7.0,0.2,28.72,15.0,13.37,12.31,19.47,22.47,0.11,20.0,49.28
11,Jadavpur University,Kolkata,West Bengal,65.62,12,18.5,2.77,17.37,14.6,27.28,27.04,2.5,2.66,33.89,15.0,15.2,12.46,5.07,18.53,5.29,20.0,41.13
12,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,65.41,13,18.04,30.0,16.92,13.16,27.61,31.83,9.0,0.26,30.37,13.92,10.03,10.29,20.88,24.88,1.1,20.0,17.57
13,Anna University,Chennai,Tamil Nadu,65.34,14,15.94,23.77,13.24,12.99,28.56,31.78,9.0,1.97,24.72,13.53,1.74,13.43,0.74,24.5,3.43,20.0,65.97
14,Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,64.83,15,15.43,23.35,15.59,19.02,27.4,29.33,2.25,1.93,31.21,12.69,17.86,14.18,20.44,11.62,7.18,20.0,33.72
15,Indian Institute of Technology Indore,Indore,Madhya Pradesh,64.72,16,10.73,30.0,18.01,21.05,24.71,24.7,2.25,3.56,30.64,15.0,20.22,,20.09,14.12,6.46,20.0,29.9
16,"National Institute of Technology Karnataka, Surathkal ",Surathkal,Karnataka,64.27,17,17.5,20.02,13.0,24.44,22.45,21.45,2.5,2.93,34.55,15.0,17.18,11.7,16.94,16.02,9.34,20.0,52.37
17,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,63.42,18,11.5,30.0,19.8,27.09,18.13,16.38,2.0,5.69,30.19,15.0,17.47,,22.52,18.53,4.52,20.0,36.08
18,National Institute of Technology Rourkela,Rourkela,Odisha,63.38,19,17.5,24.98,16.27,17.73,26.0,26.49,2.5,2.01,31.45,15.0,15.17,11.63,15.69,14.48,9.25,20.0,27.38
19,"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,63.04,20,17.87,23.57,15.49,16.26,23.1,26.09,2.5,0.81,37.35,15.0,19.62,,21.04,17.09,0.01,20.0,36.28
20,National Institute of Technology Warangal,Warangal,Telangana,61.72,21,16.5,24.8,16.34,19.35,22.36,22.65,2.25,0.99,32.93,15.0,17.84,,14.57,16.39,7.08,20.0,32.9
21,Indian Institute of Technology Ropar,Rupnagar,Punjab,61.56,22,12.41,26.58,16.6,21.72,20.26,19.53,2.5,4.11,32.24,15.0,19.5,,22.71,14.33,8.1,20.0,32.06
22,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,61.29,23,16.22,29.05,18.13,14.65,22.18,20.77,4.5,2.43,36.47,15.0,10.72,,16.05,21.43,5.0,20.0,37.03
23,Jamia Millia Islamia,New Delhi,Delhi,61.28,24,10.5,26.42,14.58,14.99,27.74,26.85,1.25,2.92,38.51,15.0,13.69,,23.37,13.41,10.07,20.0,19.33
24,National Institute of Technology Calicut,Kozhikode,Kerala,61.19,25,16.0,26.51,16.93,17.92,17.59,16.41,2.5,1.09,38.01,15.0,15.84,10.62,15.03,23.0,9.9,20.0,40.1
25,Siksha `O` Anusandhan,Bhubaneswar,Odisha,60.97,26,17.5,30.0,16.96,17.62,17.37,19.18,5.0,0.89,31.46,15.0,9.88,,22.23,30.0,1.4,20.0,30.12
26,Delhi Technological University,New Delhi,Delhi,60.78,27,19.0,30.0,11.59,12.5,20.49,21.99,0.75,0.64,37.12,15.0,17.24,,13.98,18.73,2.86,20.0,49.0
27,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,60.61,28,12.53,30.0,18.39,26.13,17.32,17.75,1.0,4.17,35.43,15.0,18.27,,19.62,20.45,6.17,20.0,13.5
28,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,60.35,29,18.23,23.33,14.21,14.98,21.35,27.76,2.0,0.58,33.89,15.0,15.24,,17.22,25.14,1.66,20.0,24.95
29,Amity University,Gautam Budh Nagar,Uttar Pradesh,59.91,30,16.47,30.0,15.91,12.83,25.59,24.28,9.0,0.65,30.1,15.0,9.95,,18.04,24.96,0.28,20.0,8.23
30,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,59.86,31,9.79,26.28,17.75,21.07,18.9,18.29,2.5,2.41,36.32,13.5,21.37,,23.07,19.08,8.36,20.0,19.9
31,Chandigarh University,Mohali,Punjab,59.82,32,17.95,30.0,16.34,11.92,16.24,20.19,9.0,0.32,28.65,15.0,12.91,,23.6,30.0,1.95,20.0,24.19
32,Aligarh Muslim University,Aligarh,Uttar Pradesh,59.16,33,11.0,30.0,17.68,16.79,26.43,25.97,4.25,2.03,32.73,13.05,11.09,,5.61,12.17,3.45,20.0,21.83
33,Indian Institute of Technology Patna,Patna,Bihar,58.4,34,12.02,20.67,13.68,20.84,22.18,21.15,2.25,3.83,33.92,14.27,20.74,,18.31,9.61,5.08,20.0,25.69
34,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,58.24,35,17.47,30.0,17.63,9.75,20.77,20.39,6.0,0.36,28.63,15.0,12.06,,15.28,29.67,1.36,20.0,18.17
35,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,58.2,36,16.48,30.0,18.58,13.62,15.35,17.92,5.0,0.53,36.27,15.0,11.07,,19.04,30.0,7.09,20.0,10.42
36,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,58.0,37,20.0,26.6,16.79,14.67,15.88,18.47,8.0,0.64,23.59,15.0,11.63,11.82,26.01,29.96,0.33,20.0,16.36
37,Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,57.97,38,16.32,30.0,17.95,14.15,15.47,19.27,2.25,2.31,34.86,15.0,12.57,,14.25,28.22,4.74,20.0,15.11
38,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,57.89,39,13.94,26.24,17.47,17.07,17.56,16.91,6.5,2.39,35.49,15.0,15.62,,11.95,20.22,3.45,20.0,21.28
39,National Institute of Technology Silchar,Silchar,Assam,57.6,40,14.35,22.14,14.98,15.66,24.45,23.65,4.5,1.22,33.97,15.0,15.91,,13.18,16.15,7.53,20.0,10.06
40,Institute of Chemical Technology,Mumbai,Maharashtra,56.93,41,10.37,24.3,16.66,19.9,18.07,19.7,7.0,4.31,29.64,15.0,13.06,,6.66,24.13,3.4,20.0,20.74
41,UPES,Dehradun,Uttarakhand,56.65,42,15.5,26.03,15.61,15.98,22.92,24.99,4.0,0.28,24.87,15.0,10.64,,20.83,21.8,0.08,20.0,25.69
42,Malaviya National Institute of Technology,Jaipur,Rajasthan,56.35,43,14.97,23.94,15.75,14.59,22.8,22.92,1.25,1.7,31.3,15.0,14.89,,12.68,19.53,73.55,20.0,11.42
43,National Institute of Technology Durgapur,Durgapur,West Bengal,56.26,44,14.09,23.65,16.12,16.56,18.45,17.92,0.75,1.59,38.71,15.0,14.89,,14.74,14.44,9.8,20.0,20.18
44,National Institute of Technology Delhi,Delhi,Delhi,55.67,45,7.96,30.0,19.59,19.64,14.91,13.8,0.5,0.96,32.6,15.0,17.27,,20.57,25.11,11.86,20.0,21.83
45,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,55.01,46,13.5,26.94,15.12,14.37,20.29,19.28,1.0,0.75,35.06,15.0,12.57,,4.12,25.67,7.31,20.0,20.46
46,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,54.29,47,9.33,22.86,15.64,17.63,18.7,16.32,1.5,4.37,27.16,12.03,25.0,,20.96,19.48,2.7,20.0,26.9
47,Birla Institute of Technology,Ranchi,Jharkhand,54.18,48,13.49,29.9,17.05,15.49,18.69,18.23,1.25,1.04,27.47,14.72,14.88,,11.99,19.05,1.41,20.0,19.04
48,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,54.17,49,12.26,21.69,13.92,16.14,19.27,18.03,1.25,1.07,34.06,14.31,13.21,10.69,11.42,16.16,7.18,20.0,31.85
49,Lovely Professional University,Phagwara,Punjab,54.16,50,18.0,21.78,12.22,,16.53,23.41,13.0,0.08,26.55,15.0,11.47,,24.81,19.39,2.9,20.0,21.83
50,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,53.13,51,8.95,30.0,16.44,22.43,11.54,10.06,1.0,0.92,33.23,14.07,15.87,,18.49,17.97,4.63,20.0,32.27
51,Graphic Era University,Dehradun,Uttarakhand,52.96,52,12.7,26.11,14.25,13.33,17.13,17.69,8.0,0.59,22.76,14.59,11.31,,17.99,27.14,,20.0,30.99
