,name,city,state,score,rank,TLR_SS Score (Max 15.00),TLR_FSR Score (Max 15.00),TLR_FQE Score (Max 10.00),TLR_FRU Score (Max 10.00),RP_PU Score (Max 10.00),RP_QP Score (Max 10.00),RP_IPR Score (Max 10.00),RP_FPPP Score (Max 10.00),GO_GPH Score (Max 10.00),GO_GUE Score (Max 10.00),GO_MS Score (Max 10.00),GO_GPHD Score (Max 10.00),OI_RD Score (Max 4.00),OI_WD Score (Max 4.00),OI_ESCS Score (Max 4.00),OI_PCS Score (Max 3.00),PR Score (Max 15.00)
0,Indian Institute of Technology Madras,Chennai,Tamil Nadu,86.42,1,17.0,22.69,16.49,19.69,12.5,27.83,26.63,14.0,10.79,8.05,60.0,25.76,21.64,14.64,9.4,20.0,100.0
1,"Indian Institute of Science, Bengaluru",Bengaluru,Karnataka,83.28,2,11.0,25.0,18.6,20.0,,30.0,27.71,11.0,,8.87,56.39,25.78,24.01,11.34,3.12,20.0,99.7
2,Indian Institute of Technology Bombay,Mumbai,Maharashtra,81.37,3,17.0,21.79,16.87,15.19,13.0,26.66,26.02,13.0,,8.13,36.17,27.19,19.25,15.27,4.53,20.0,89.32
3,Indian Institute of Technology Delhi,New Delhi,Delhi,80.31,4,17.0,19.61,15.82,16.14,,27.89,28.48,13.0,,8.99,53.03,24.45,24.1,14.86,7.27,20.0,93.48
4,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,77.56,5,16.7,24.33,19.55,15.77,13.5,23.7,22.31,10.0,,7.01,60.0,21.96,19.7,13.4,7.74,20.0,74.12
5,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,74.77,6,17.88,17.34,14.27,12.16,15.0,25.01,27.02,10.0,,7.93,51.18,29.01,21.24,12.08,3.97,20.0,75.24
6,All India Institute of Medical Sciences Delhi,New Delhi,Delhi,74.27,7,11.0,25.0,17.34,20.0,,28.34,25.93,,,10.0,60.0,8.66,22.46,28.83,0.0,20.0,82.97
7,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,71.52,8,16.21,19.49,15.35,12.0,13.5,24.61,,,,8.16,60.0,19.14,23.72,13.36,5.83,20.0,52.89
8,Indian Institute of Technology Guwahati,Guwahati,Assam,69.04,9,16.0,21.55,14.25,11.53,13.0,,23.03,,,7.56,60.0,21.35,25.12,13.87,2.96,20.0,43.43
9,Jawaharlal Nehru University,New Delhi,Delhi,68.53,10,17.0,23.52,16.26,11.4,,18.67,18.36,,,6.6,57.34,40.0,24.55,27.72,0.0,20.0,87.71
10,Banaras Hindu University,Varanasi,Uttar Pradesh,67.56,11,20.0,20.57,16.51,11.27,,17.5,21.83,,,6.72,60.0,34.94,11.61,27.48,2.48,20.0,50.25
11,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,66.69,12,11.34,25.0,19.28,13.84,,21.37,19.61,,,7.58,60.0,13.33,18.12,15.74,5.35,20.0,54.34
12,Jamia Millia Islamia,New Delhi,Delhi,66.0,13,16.0,24.08,15.21,11.01,,18.16,20.24,,,6.47,60.0,32.72,23.13,30.0,9.97,20.0,29.78
13,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,64.94,14,17.8,25.0,17.23,11.83,,19.25,21.76,,,6.84,60.0,17.34,18.37,27.98,0.98,20.0,25.34
14,University of Delhi,Delhi,Delhi,64.81,15,19.5,13.15,10.53,,,21.73,23.61,,,7.08,58.66,39.88,18.59,28.4,0.58,20.0,43.93
15,Aligarh Muslim University,Aligarh,Uttar Pradesh,64.17,16,18.08,23.76,17.18,10.0,,17.1,20.62,,,5.99,60.0,33.81,9.1,26.45,5.6,20.0,33.15
16,Jadavpur University,Kolkata,West Bengal,63.84,17,17.15,21.66,16.67,,,19.75,20.07,,,6.13,60.0,29.92,1.2,23.04,5.69,20.0,48.2
