,name,city,state,score,rank,TLR_SS Score (Max 20.00),TLR_FSR Score (Max 25.00),TLR_FQE Score (Max 20.00),TLR_FRU Score (Max 20.00),RP_PU Score (Max 15.00),RP_QP Score (Max 30.00),RP_IPR Score (Max 30.00),RP_FPPP Score (Max 15.00),GO_GPH Score (Max 15.00),GO_GUE Score (Max 10.00),GO_MS Score (Max 60.00),GO_GPHD Score (Max 40.00),OI_RD Score (Max 30.00),OI_WD Score (Max 30.00),OI_ESCS Score (Max 20.00),OI_PCS Score (Max 20.00),PR Score (Max 100.00)
0,"Indian Institute of Science, Bengaluru",Bengaluru,Karnataka,83.29,1,11.0,25.0,18.6,20.0,9.0,30.0,27.71,11.0,8.92,8.87,56.39,25.78,,11.34,3.12,,99.79
1,Jawaharlal Nehru University,New Delhi,Delhi,69.8,2,17.0,23.52,16.26,11.4,6.75,18.67,18.36,0.75,0.89,6.6,57.34,40.0,,27.72,0.0,,70.39
2,Jamia Millia Islamia,New Delhi,Delhi,68.11,3,16.0,24.08,15.21,11.01,5.0,18.16,20.24,1.25,3.16,6.47,60.0,32.72,,30.0,9.97,,50.85
3,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,67.18,4,17.8,25.0,17.23,11.83,6.25,19.25,21.76,3.0,5.1,6.84,60.0,17.34,,27.98,0.98,,47.74
4,Banaras Hindu University,Varanasi,Uttar Pradesh,66.05,5,20.0,20.57,16.51,11.27,5.25,17.5,21.83,1.25,3.71,6.72,60.0,34.94,,27.48,2.48,,35.18
5,University of Delhi,Delhi,Delhi,65.9,6,19.5,13.15,10.53,8.56,5.0,21.73,23.61,2.25,1.76,7.08,58.66,39.88,,28.4,0.58,,54.75
6,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,65.73,7,18.0,24.99,17.61,10.91,5.0,16.63,16.21,4.5,5.37,5.12,60.0,17.63,,27.18,3.3,,55.25
7,Aligarh Muslim University,Aligarh,Uttar Pradesh,65.57,8,18.08,23.76,17.18,10.0,5.0,17.1,20.62,0.5,1.68,5.99,60.0,33.81,,26.45,5.6,,47.21
8,Jadavpur University,Kolkata,West Bengal,65.39,9,17.45,21.66,16.67,7.1,6.25,19.75,20.07,2.5,2.91,6.13,60.0,29.92,,23.04,5.69,,63.74
9,Vellore Institute of Technology,Vellore,Tamil Nadu,64.79,10,20.0,19.23,13.36,3.92,5.0,20.83,26.86,7.0,0.71,6.56,60.0,19.42,,23.48,0.1,,57.55
10,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,64.62,11,14.31,25.0,19.99,8.28,5.0,24.63,22.19,5.0,0.79,8.26,60.0,12.82,,28.23,3.62,,34.05
11,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,64.56,12,19.22,25.0,15.53,6.94,5.0,17.63,22.29,9.0,0.87,5.63,60.0,16.92,,27.24,2.27,,41.91
12,Anna University,Chennai,Tamil Nadu,63.85,13,13.8,19.29,12.76,6.47,8.0,21.63,22.99,9.0,2.92,6.98,54.19,17.39,,24.83,3.35,,74.89
13,Siksha `O` Anusandhan,Bhubaneswar,Odisha,62.61,14,17.25,25.0,16.05,10.79,5.0,13.38,14.19,7.0,3.36,4.26,60.0,14.06,,30.0,,,56.35
14,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,62.53,15,19.0,25.0,18.36,7.38,5.0,1.74,15.05,9.0,1.72,4.5,60.0,19.53,,29.19,3.09,,39.6
15,Homi Bhabha National Institute,Mumbai,Maharashtra,62.31,16,10.22,25.0,18.19,19.88,3.0,20.26,19.81,1.0,4.94,,52.2,24.75,,23.76,0.0,,29.19
16,University of Hyderabad,Hyderabad,Telangana,62.18,17,12.96,25.0,18.89,9.34,6.5,18.68,17.39,2.25,1.38,5.88,60.0,21.39,,26.33,0.0,,41.92
17,Calcutta University,Kolkata,West Bengal,61.1,18,15.79,25.0,17.64,5.83,5.75,14.77,16.65,2.0,3.3,5.4,60.0,32.19,,29.42,0.26,,40.13
18,"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,60.03,19,17.5,18.96,14.77,9.82,5.0,19.25,21.06,5.0,6.52,6.0,60.0,15.19,,17.38,0.01,,19.68
19,Chandigarh University,Mohali,Punjab,59.96,20,18.85,25.0,14.7,4.95,5.0,10.3,13.85,9.0,3.44,3.39,60.0,18.18,,30.0,3.4,,41.19
20,Kerala University,Thiruvananthapuram,Kerala,58.48,21,12.86,24.92,17.22,14.52,5.0,10.74,10.16,0.5,1.43,3.89,60.0,34.82,,30.0,0.0,,33.16
21,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,57.98,22,15.02,25.0,17.72,5.13,5.0,16.17,14.51,6.0,0.65,4.21,60.0,11.78,,29.69,1.36,,41.47
22,Savitribai Phule Pune University,Pune,Maharashtra,57.96,23,13.56,17.22,12.12,8.67,9.5,16.3,15.77,0.5,1.14,5.47,60.0,29.65,,26.01,3.32,,47.0
23,JSS Academy of Higher Education and Research,Mysuru,Karnataka,57.74,24,15.0,25.0,18.75,12.93,5.0,10.86,11.92,3.0,1.42,4.92,60.0,9.66,,30.0,4.55,,34.55
24,Andhra University,Visakhapatnam,Andhra Pradesh,57.67,25,14.97,24.56,17.67,12.49,5.75,8.2,8.3,4.0,3.01,2.54,60.0,25.19,,30.0,7.68,,37.09
25,Bharathiar University,Coimbatore,Tamil Nadu,57.26,26,10.21,24.6,17.81,8.42,3.0,17.3,16.26,2.0,0.82,6.07,60.0,18.16,,30.0,2.22,,42.79
26,Lovely Professional University,Phagwara,Punjab,56.92,27,18.0,19.12,11.63,3.36,5.0,13.08,18.1,13.0,0.91,4.67,60.0,6.63,,22.75,3.09,,45.47
27,Shanmugha Arts Science Technology and Research Academy,Thanjavur,Tamil Nadu,56.81,28,15.3,25.0,16.72,7.39,5.0,13.0,14.76,2.25,3.29,4.35,60.0,11.47,,29.74,4.01,,37.87
28,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,56.72,29,15.5,21.5,14.74,8.26,5.0,16.3,19.23,2.0,0.66,5.17,60.0,11.19,,25.33,1.66,,35.91
29,Kalasalingam Academy of Research and Education,Srivilliputhur,Tamil Nadu,56.71,30,15.0,25.0,18.18,6.57,5.0,10.92,11.8,5.0,1.41,3.53,60.0,14.56,,30.0,4.8,,37.35
30,Symbiosis International,Pune,Maharashtra,56.41,31,18.0,25.0,16.35,11.17,2.0,,11.41,2.5,1.98,3.16,60.0,18.53,,29.24,1.18,,42.14
31,Amity University,Gautam Budh Nagar,Uttar Pradesh,56.14,32,17.21,17.81,12.39,4.37,5.0,14.39,17.68,11.0,2.49,5.04,60.0,11.92,,29.52,0.21,,30.83
32,Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,56.03,33,12.0,25.0,19.85,7.46,5.0,8.99,10.99,1.25,0.56,3.66,60.0,20.94,,30.0,10.64,,35.47
33,Cochin University of Science and Technology,Cochin,Kerala,55.95,34,12.0,25.0,18.57,11.41,5.0,15.49,12.92,0.5,1.77,4.84,60.0,13.76,,30.0,3.24,,34.31
34,Institute of Chemical Technology,Mumbai,Maharashtra,55.67,35,9.01,17.66,14.34,9.65,5.25,16.33,15.53,7.0,1.4,5.42,60.0,15.08,,24.68,4.4,,46.44
35,Bharathidasan University,Tiruchirappalli,Tamil Nadu,55.6,36,10.85,24.71,17.99,6.58,5.0,17.04,15.19,0.0,0.97,5.93,56.9,22.88,,28.88,3.35,,30.29
36,Mahatma Gandhi University,Kottayam,Kerala,55.18,37,,25.0,16.7,15.21,7.0,13.84,14.0,1.5,2.88,5.05,58.39,12.59,,30.0,0.77,,32.86
37,Panjab University,Chandigarh,Chandigarh,55.11,38,16.93,13.17,10.26,6.95,7.0,14.86,19.53,1.25,1.09,5.29,40.68,33.38,,26.83,1.35,,50.68
38,University of Madras,Chennai,Tamil Nadu,55.03,39,9.85,25.0,19.86,8.6,6.0,16.08,14.85,1.0,0.82,5.75,49.02,16.46,,30.0,0.0,,42.79
39,Gauhati University,Guwahati,Assam,54.86,40,16.0,23.14,17.98,9.7,5.0,9.35,9.62,1.0,1.08,3.05,60.0,28.28,,30.0,5.57,,23.19
40,Jamia Hamdard,New Delhi,Delhi,54.86,40,15.0,23.53,16.82,8.31,5.0,12.52,14.5,0.75,1.29,5.4,60.0,10.2,,30.0,1.54,,32.62
41,Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,54.71,42,13.61,24.81,18.17,9.9,5.0,14.02,10.54,6.5,1.29,5.98,55.89,5.37,,30.0,2.22,,30.99
42,Osmania University,Hyderabad,Telangana,54.69,43,16.0,18.45,12.85,13.2,4.25,9.71,9.67,2.0,4.31,3.09,60.0,25.33,,30.0,6.15,,37.61
